title,milestone,labels,body
"[EPIC 0] Foundation","Epic 0 — Foundation","epic,type: chore","## Epic goal
Lay the substrate before any page work. Branch, design tokens, MDX pipeline, CI guards. Blocks every other epic.

## Definition of done
- Design context files (`.claude/` + `CLAUDE.md`) committed at repo root
- `redesign` branch deployed to Vercel preview
- Design tokens (palette, typography, spacing) live in `app/globals.css`
- MDX content pipeline working for `_data/projects`, `_data/essays`, `_data/experience`, `_data/credentials`
- CI passing: TypeScript strict, Biome/ESLint, Lighthouse mobile ≥ 90 on PR previews
- All sub-issues closed: #0.0–#0.6

## Sub-issues
- [ ] [0.0] Add design context files + CLAUDE.md to repo root
- [ ] [0.1] Set up redesign branch + feature-flag routing
- [ ] [0.2] Install + configure design tokens (palette + typography)
- [ ] [0.3] Build shared layout primitives
- [ ] [0.4] Set up MDX + content pipeline
- [ ] [0.5] Set up CI guards
- [ ] [0.6] Audit + migrate content sources (backend API → MDX, if applicable)"
"[0.0] Add design context files + CLAUDE.md to repo root","Epic 0 — Foundation","type: chore,surface: infrastructure","## Goal
Place the design system documentation and Claude Code context files at the repo root so every Claude Code session starts with the right context.

## Context
This is the unlock for AI-assisted development on this project. Once these files exist, every Claude Code session inherits the design language, voice, and engineering conventions without re-explaining them. **Do this first — before any code work.**

## Scope — in
- Create `CLAUDE.md` at repo root (entry point that Claude Code reads first)
- Create `.claude/` directory with:
  - `README.md` — entry guide
  - `design-system.md` — palette, typography, spacing, layout grammar
  - `editorial-voice.md` — anti-AI manifesto, voice samples
  - `component-patterns.md` — reusable component patterns
  - `mockups/` — the six HTML mockup files
    - `homepage.html` (from homepage-v2-pink.html)
    - `work.html` (from work-mockup.html)
    - `writing.html` (from writing-mockup.html)
    - `experience.html` (from experience-mockup.html)
    - `credentials.html` (from credentials-mockup.html)
    - `skills.html` (from skills-mockup.html)

## Scope — out
- Do NOT add any code, only documentation/reference files
- Do NOT modify any existing source files

## Acceptance criteria
- [ ] `CLAUDE.md` exists at repo root and is committed to `main`
- [ ] `.claude/` directory exists with all 4 markdown files
- [ ] All 6 mockup HTML files in `.claude/mockups/` (renamed to short names)
- [ ] Opening `.claude/mockups/homepage.html` in a browser renders correctly
- [ ] All files committed to `main` (these are reference files, not branch-specific)

## Reference materials
- Files provided in the setup ZIP / Gist (link in PR description)"
"[0.1] Set up redesign branch + feature-flag routing","Epic 0 — Foundation","claude-code,type: chore,surface: infrastructure","## Goal
Create the `redesign` branch and configure `/v2/*` routing so the new design ships next to the live design without breaking production.

## Context
The redesign is a side-by-side refactor, not a rebuild. The current site stays live while v2 is built piece-by-piece. Blocks every other issue in Epic 0 and beyond.

## Scope — in
- Create `redesign` branch from `main`
- Create `app/(v2)/` route group (or `app/v2/` if using Pages Router conventions — confirm App Router)
- Add basic `app/(v2)/layout.tsx` placeholder
- Add `app/(v2)/page.tsx` placeholder with ""V2 coming soon""
- Verify both `/` (current) and `/v2` (new placeholder) render on Vercel preview

## Scope — out
- Do NOT modify existing routes
- Do NOT add design tokens yet (issue #0.2)
- Do NOT add MDX pipeline yet (issue #0.4)

## Acceptance criteria
- [ ] `redesign` branch exists and is pushed to remote
- [ ] Vercel preview URL renders `/v2` with placeholder content
- [ ] Existing `/` route renders unchanged
- [ ] No TypeScript errors
- [ ] Branch protection rule: PRs to `redesign` require passing CI

## Reference materials
- None; foundational task"
"[0.2] Install + configure design tokens (rose/mauve palette + typography)","Epic 0 — Foundation","claude-code,type: chore,surface: infrastructure","## Goal
Drop the full design token system into `app/globals.css` so every component pulls from the same source of truth. Configure fonts via `next/font`.

## Context
Every subsequent issue depends on these tokens. Get this right and the system stays cohesive; get it wrong and we re-derive colors and font sizes across 30 components.

## Scope — in
- Modify `app/globals.css` to add CSS custom properties for:
  - Colors: `--bg`, `--bg-elev`, `--ink`, `--ink-dim`, `--ink-faint`, `--rule`, `--rule-bright`, `--accent`, `--accent-soft`, `--accent-deep`
  - Typography stacks: `--serif`, `--sans`, `--mono`
- Install fonts via `next/font/google` in `app/(v2)/layout.tsx`:
  - Instrument Serif (regular + italic)
  - Geist (300, 400, 500, 600)
  - JetBrains Mono (400, 500)
- Add the SVG noise overlay via `body::before` (data-URI)
- Add the ambient radial gradients on body background

## Scope — out
- Do NOT add components yet (issue #0.3)
- Do NOT touch the legacy `app/` routes' styling

## Acceptance criteria
- [ ] All tokens defined in `:root` block of `globals.css`
- [ ] Color values match the rose palette exactly:
  - `--accent: #d48aa6`
  - `--accent-soft: #e9bcce`
  - `--accent-deep: #8e5675`
  - `--bg: #0b0a0c`
- [ ] Fonts load with `display: 'swap'`
- [ ] No layout shift visible on `/v2` page load (font-display swap behaves correctly)
- [ ] Lighthouse mobile ≥ 90 on `/v2`

## Reference materials
- Mockup: `/mockups/homepage-v2-pink.html` (see `:root` CSS block at the top)
- All six mockup files have the same token block — copy from any"
"[0.3] Build shared layout primitives","Epic 0 — Foundation","claude-code,type: feat,surface: infrastructure","## Goal
Build the five reusable components every page depends on. Get these right and every page snaps together.

## Context
The mockups use the same visual primitives across all pages — section eyebrows with `§ NN` numbering, marginalia annotations, diamond markers, mono captions, section rules. Building them once means consistency for free.

## Scope — in
- Create `components/ui/eyebrow.tsx` — section eyebrow with `§` number, title, optional view-all link
- Create `components/ui/marginalia.tsx` — rotated annotation with arrow
- Create `components/ui/diamond-marker.tsx` — accent/standard/archive variants
- Create `components/ui/mono-caption.tsx` — small monospace caption wrapper
- Create `components/ui/section-rule.tsx` — horizontal divider with optional label
- All as Server Components (no ""use client"")
- All accept `className` for composition
- TypeScript: explicit prop types, no `any`

## Scope — out
- Do NOT build page-specific components (hero, work-row, etc. — those live in feature folders)
- Do NOT add any client-side interactivity

## Acceptance criteria
- [ ] All five components in `components/ui/`
- [ ] Each component has a TypeScript interface for props
- [ ] Each component renders correctly on a sandbox route `/v2/_sandbox` for visual verification
- [ ] No client JS shipped (verify via Network tab on `/v2/_sandbox`)
- [ ] All use design tokens, not hardcoded values

## Reference materials
- Mockups: any of them — same primitives across all six
- Visual inspection: `.eyebrow`, `.marginalia`, `.role::before` (diamond), `.section-eyebrow` blocks in CSS"
"[0.4] Set up MDX + content pipeline","Epic 0 — Foundation","claude-code,type: feat,surface: infrastructure","## Goal
Configure MDX so projects, essays, experience entries, and credentials can be authored as `.mdx` files with typed frontmatter.

## Context
Content is owned by frontmatter, not a CMS. This pipeline is the substrate for every page in epics 2–5.

## Scope — in
- Install `@next/mdx` (or `next-mdx-remote`, decide based on App Router stability)
- Configure `next.config.mjs` for `.mdx` route resolution
- Create folder structure:
  - `app/(v2)/_data/projects/*.mdx`
  - `app/(v2)/_data/essays/*.mdx`
  - `app/(v2)/_data/experience/*.mdx`
  - `app/(v2)/_data/credentials/*.mdx`
- Create typed loaders:
  - `lib/content/projects.ts` — `getAllProjects()`, `getProject(slug)`
  - `lib/content/essays.ts` — same pattern
  - Etc.
- Add Zod schemas (or similar) to validate frontmatter at build time
- Add one example MDX file per content type for verification

## Scope — out
- Do NOT write real content yet (separate writing issues in Epic 2–5)
- Do NOT build page rendering yet

## Acceptance criteria
- [ ] `getAllProjects()` returns typed array with sample data
- [ ] Invalid frontmatter throws at build time (test by intentionally breaking a schema)
- [ ] MDX bodies render as React (test with one `<Mdx />` component on sandbox)
- [ ] Frontmatter contract documented in a `README.md` inside `_data/`
- [ ] No TS errors

## Reference materials
- Frontmatter shapes described in the design conversation:
  - Project: `title, subtitle, slug, year, tier, order, dek, intro, metrics, stack, links, hasCaseStudy, heroArtifact`
  - Essay: `title, slug, publishedAt, dek, status, featured, tags`
  - Experience: `slug, title, company, start, end, summary, bullets, stack, metrics, tier`
  - Credential: `tier (degree/notable/archive), title, institution, dates, summary, relatedProjects`"
"[0.5] Set up CI guards (Lighthouse, type-check, Biome, Vercel previews)","Epic 0 — Foundation","claude-code,type: chore,surface: infrastructure","## Goal
Make the build self-policing. Every PR runs type-check, lint, build, and Lighthouse CI before merge.

## Context
Solo refactor + Claude Code authoring = the only thing standing between us and regressions is automation. Set it up once and never think about it again.

## Scope — in
- Add `.github/workflows/ci.yml` with:
  - TypeScript strict check (`tsc --noEmit`)
  - Biome / ESLint
  - `next build` with caching
  - Lighthouse CI on Vercel preview URL (or local build) with budget: mobile ≥ 90
- Enable Vercel preview deployments for `redesign` branch
- Set branch protection on `redesign`: require CI passing
- Set branch protection on `main`: require CI passing + 1 review

## Scope — out
- Do NOT add visual regression testing (overkill for solo)
- Do NOT add unit tests (separate concern; not part of this issue)

## Acceptance criteria
- [ ] CI workflow runs on every PR
- [ ] Failing TS triggers red X
- [ ] Failing Lighthouse triggers red X
- [ ] Vercel preview URL posts as a comment on every PR
- [ ] Cannot merge to `redesign` with red CI

## Reference materials
- Lighthouse CI: https://github.com/GoogleChrome/lighthouse-ci
- Next.js Vercel integration: enable in Vercel dashboard"
"[0.6] Audit + migrate content sources (backend API → MDX if applicable)","Epic 0 — Foundation","claude-code,type: refactor,surface: infrastructure","## Goal
Decide where content lives in the new architecture, and migrate if needed. Most likely outcome: move from backend-served content to MDX-in-frontend.

## Context
Currently your portfolio may be fetching projects/skills/experience/articles from your backend repo's API. The new design treats content as code (MDX, version-controlled, build-time-rendered). This task audits the current state and migrates if applicable.

## Scope — in
- **Audit phase** — document where each content type currently lives:
  - Projects → backend API / static / DB?
  - Skills → backend API / static?
  - Experience → backend API / static?
  - Articles → backend API / external CMS?
  - Credentials → backend API / static?
- **Decision** — for each content type, decide: keep on backend, or migrate to MDX?
  - Default: migrate. Static content with low edit frequency belongs in the repo.
  - Exception: anything that genuinely needs real-time data or user-generated content stays on backend.
- **Migration** — for each migrated type:
  - Export current data to MDX files in `_data/<type>/*.mdx`
  - Match the frontmatter contracts from issue #0.4
  - Keep backend endpoints alive for now (cutover in Epic 6)

## Scope — out
- Do NOT delete backend endpoints yet (legacy site still uses them)
- Do NOT migrate writing content if you don't have any drafts yet — those issues are in Epic 3

## Acceptance criteria
- [ ] Audit document in `docs/content-audit.md` listing every content source
- [ ] Migration decision recorded per content type (keep / migrate)
- [ ] If migrating: existing content exported as MDX with correct frontmatter
- [ ] If keeping on backend: a typed fetch adapter in `lib/content/<type>.ts` that matches the same interface as the MDX loaders
- [ ] No data loss — every project/skill/experience that exists today is represented in the new system

## Reference materials
- Frontmatter contracts in issue #0.4
- Existing backend API documentation (in the docs repo)"
"[EPIC 1] Homepage","Epic 1 — Homepage","epic,type: feat,surface: homepage","## Epic goal
Ship the new homepage end-to-end at `/v2`. Highest recruiter-impact surface. After this epic, you can share the v2 URL with people and get feedback on a complete experience.

## Definition of done
- `/v2` route renders: hero + about + work preview + writing preview + contact + footer
- Single hero CTA, no gradient buttons, no floating WhatsApp
- All content sourced from MDX (or fetch adapters from #0.6)
- Lighthouse mobile ≥ 90
- Mobile responsive at 375px, 768px, 1280px

## Sub-issues
- [ ] [1.1] Implement `<Nav />` with simplified CTAs
- [ ] [1.2] Implement hero section
- [ ] [1.3] Implement about section
- [ ] [1.4] Implement work preview rows (3 projects)
- [ ] [1.5] Implement writing preview (1 featured + 3 recent)
- [ ] [1.6] Implement contact section
- [ ] [1.7] Implement footer with colophon
- [ ] [1.8] Remove old gradient CTA blocks + floating WhatsApp from legacy `/` route (cleanup)"
"[1.1] Implement <Nav /> with simplified CTAs","Epic 1 — Homepage","claude-code,type: feat,surface: homepage","## Goal
Build the sticky navigation bar with 6 text links + 1 mono Resume link. No outlined buttons, no Curriculum + Contacto duplication.

## Context
First visual element on every page. Sets the tone. Issue #1.2 (hero) depends on this layout.

## Scope — in
- Create `components/nav/site-nav.tsx` as a Server Component
- Render in `app/(v2)/layout.tsx`
- Sticky positioning with blur backdrop
- Active route highlighting via `usePathname` (this *one* part can be a tiny Client Component)
- Mobile: hide secondary links (Experience, Credentials) below 900px

## Scope — out
- Do NOT add mobile hamburger menu (defer to polish epic)
- Do NOT add command palette trigger here (separate issue in Epic 5)

## Acceptance criteria
- [ ] Matches mockup `/mockups/homepage-v2-pink.html` `nav` block exactly
- [ ] Sticky with `backdrop-filter: blur(8px)`
- [ ] Active link highlighted in `--ink` color
- [ ] Resume link uses mono font, has left border, opens PDF in new tab
- [ ] Keyboard navigable; visible focus rings
- [ ] No layout shift on scroll

## Reference materials
- Mockup: `/mockups/homepage-v2-pink.html` → `<nav>` element"
